*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),錳(mg),維生素A總量(IU),視網醇當量(RE)(ug),視網醇(ug),α-胡蘿蔔素(ug),β-胡蘿蔔素(ug),維生素D總量(IU),維生素D總量(ug),維生素D2(ug),維生素D3(ug),維生素E總量(mg),α-維生素E當量(α-TE)(mg),α-生育酚(mg),β-生育酚(mg),γ-生育酚(mg),δ-生育酚(mg),維生素K1(ug),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),酪酸(4:0)(mg),己酸(6:0)(mg),辛酸(8:0)(mg),癸酸(10:0)(mg),月桂酸(12:0)(mg),十三酸(13:0)(mg),肉豆蔻酸(14:0)(mg),十五酸(15:0)(mg),棕櫚酸(16:0)(mg),十七酸(17:0)(mg),硬脂酸(18:0)(mg),十九酸(19:0)(mg),花生酸(20:0)(mg),山酸(22:0)(mg),廿四酸(24:0)(mg),脂肪酸M總量(mg),肉豆蔻烯酸(14:1)(mg),棕櫚烯酸(16:1)(mg),油酸(18:1)(mg),鱈烯酸(20:1)(mg),芥子酸(22:1)(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),十八碳四烯酸(18:4)(mg),花生油酸(20:4)(mg),廿碳五烯酸(20:5)(mg),廿二碳五烯酸(22:5)(mg),廿二碳六烯酸(22:6)(mg),其他脂肪酸(mg),P/M/S,反式脂肪(mg),水解胺基酸總量(mg),天門冬胺酸(Asp)(mg),酥胺酸(Thr)(mg),絲胺酸(Ser)(mg),麩胺酸(Glu)(mg),脯胺酸(Pro)(mg),甘胺酸(Gly)(mg),丙胺酸(Ala)(mg),胱胺酸(Cys)(mg),纈胺酸(Val)(mg),甲硫胺酸(Met)(mg),異白胺酸(Ile)(mg),白胺酸(Leu)(mg),酪胺酸(Tyr)(mg),苯丙胺酸(Phe)(mg),離胺酸(Lys)(mg),組胺酸(His)(mg),精胺酸(Arg)(mg),色胺酸(Trp)(mg),膽固醇(mg),酒精含量(g)
A0320404,穀物類,高筋麵粉,前處理描述:混合均勻,,,362 ,358,12.3,12.9,1.2,0.3,0.6,73.1,1.9,,,,,,,,1,108,11,33,1.2,0.9,81,,,0,0,,0,0,,,,,0.71 ,0.30 ,0.21 ,0.11 ,0.39 ,0.01 ,,,,0.12,0.03,1.13,0.07,,48.6,5.0,254,0,0,0,0,0,0,1,0,230,0,15,0,2,3,3,192,0,1,182,8,0,744,707,37,0,0,0,0,0,0,3.88/1.00/1.32,,14070 ,591 ,382 ,657 ,4996 ,1879 ,511 ,415 ,488 ,587 ,58 ,473 ,932 ,348 ,617 ,286 ,318 ,458 ,73 ,,
A0320405,穀物類,高筋麵粉(2021年取樣),前處理描述:混合均勻,強力粉,0 ,362 ,357,12.3,13.8,1.3,0.5,0.4,72.2,2.5,0.3,0.0,0.0,0.0,0.2,0.2,0.0,1,98,14,30,0.9,1.0,86,0.154 ,0.398 ,0,0,0,,0,0.00 ,0.00 ,0.00 ,0.00 ,1.56 ,0.44 ,0.25 ,0.13 ,1.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07,0.03,0.00,0.00,0.00,30.4,4.8,490,0,0,0,0,0,0,0,0,445,2,24,0,7,7,5,159,0,4,147,7,0,571,548,23,0,0,0,0,0,55,3.59/1.00/3.08,0 ,13657 ,510 ,336 ,642 ,4995 ,1707 ,487 ,396 ,218 ,551 ,106 ,466 ,958 ,451 ,696 ,257 ,272 ,491 ,117 ,0 ,
A0320505,穀物類,全麥麵粉,"前處理描述:混合均勻(高筋麵粉,麩皮等)",,,359 ,342,12.7,13.0,1.7,0.3,1.2,71.4,8.0,0.3,0.0,0.0,,0.0,0.3,0.0,2,277,23,97,3.4,2.3,251,,,0,0,,0,0,,,,,2.51 ,0.91 ,0.57 ,0.39 ,1.55 ,0.01 ,,,,0.33,0.07,4.09,0.24,,71.1,7.1,321,0,0,0,0,0,0,2,1,287,1,20,0,3,3,3,309,0,2,294,13,0,1074,1011,63,0,0,0,0,0,2,3.48/1.00/1.04,,14294 ,651 ,392 ,640 ,4860 ,1629 ,567 ,462 ,297 ,597 ,145 ,515 ,1008 ,424 ,666 ,363 ,329 ,561 ,188 ,,
A0320601,穀物類,雜糧中筋麵粉,"前處理描述:混合均勻(中筋麵粉,全麥麵粉,裸麥,小黑麥,燕麥,玉米,大豆,糙米,小米,亞麻籽等)",,,361 ,350,11.7,13.1,2.3,0.6,1.0,72.0,5.7,0.8,0.2,0.0,,0.4,0.3,0.0,2,207,24,52,1.8,1.7,175,0.021 ,,0,0,,,0,,,,,2.00 ,0.89 ,0.65 ,0.26 ,1.08 ,0.00 ,,,,0.34,0.08,2.23,0.08,,63.1,2.9,638,0,0,0,0,0,0,0,0,591,0,34,0,0,0,13,355,0,0,336,19,0,1268,1200,68,0,0,0,0,0,26,3.57/1.00/1.80,,11541 ,548 ,343 ,589 ,3980 ,1225 ,448 ,381 ,244 ,445 ,114 ,364 ,799 ,361 ,554 ,293 ,242 ,451 ,160 ,,
A0320702,穀物類,雜糧高筋麵粉,"前處理描述:混合均勻(高筋麵粉,麩皮,葵花籽,燕麥,玉米,大麥,米粉,小米,亞麻籽,蕎麥,香菜籽等)",,,360 ,350,12.4,14.3,2.8,0.8,0.9,69.6,5.3,1.1,0.2,0.1,,0.4,0.3,0.0,2,218,24,65,1.9,1.7,191,0.022 ,,2,0,,,1,,,,,2.26 ,0.91 ,0.63 ,0.30 ,1.33 ,0.00 ,,,,0.33,0.04,2.63,0.12,,61.4,9.5,787,0,0,0,0,0,0,0,0,713,0,40,0,11,12,10,445,0,0,428,17,0,1478,1405,73,0,0,0,0,0,44,3.32/1.00/1.77,,12437 ,554 ,360 ,633 ,4417 ,1376 ,481 ,405 ,252 ,476 ,0 ,397 ,867 ,399 ,619 ,306 ,264 ,482 ,151 ,,
A0400101,穀物類,白玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均均打碎",,,66 ,58,83.8,3.4,0.6,,0.7,11.5,3.7,,,,,,,,5,200,5,30,0.6,0.7,100,,,24,2,,9,10,,,,,,,,,,,,,,0.04,0.08,0.80,0.08,,8.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0400201,穀物類,紫玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均勻打碎",,47 ,168 ,157,59.4,4.5,1.0,0.3,0.6,34.4,4.9,,,,,,,,1,253,5,10,1.0,1.0,139,,,0,0,,0,0,,,,,0.71 ,0.20 ,0.13 ,0.05 ,0.45 ,0.08 ,,,,0.17,0.09,1.27,0.34,,11.0,4.3,286,0,0,0,0,0,0,1,0,250,1,26,0,7,0,0,335,0,7,325,3,0,411,396,13,0,2,0,0,0,0,1.44/1.17/1.00,,4149 ,322 ,163 ,209 ,788 ,378 ,171 ,344 ,54 ,212 ,43 ,159 ,532 ,145 ,197 ,151 ,136 ,145 ,0 ,,
A0400301,穀物類,甜玉米,"樣品狀態:生; 前處理描述:取玉米粒,混合均勻打碎","玉米,黃玉米",39 ,107 ,97,75.7,3.3,2.5,0.7,0.7,17.8,4.7,7.0,1.6,1.5,,0.0,3.8,0.0,2,269,3,34,0.5,0.6,84,0.006 ,,180,18,,3,106,,,,,0.75 ,0.15 ,0.09 ,0.01 ,0.62 ,0.04 ,,,,0.13,0.10,1.84,0.20,,26.6,5.4,731,0,0,0,1,0,0,0,0,628,1,70,0,14,5,10,868,0,5,854,9,0,878,851,27,0,0,0,0,0,0,1.20/1.19/1.00,,2851 ,245 ,115 ,146 ,481 ,239 ,123 ,232 ,40 ,139 ,34 ,97 ,324 ,125 ,132 ,116 ,91 ,122 ,51 ,,
A0400401,穀物類,雙色水果玉米,"樣品狀態:生(黃白雙色品種); 前處理描述:取玉米粒,混合均勻打碎","玉米,黃玉米",39 ,105 ,97,76.2,3.1,2.6,0.7,0.6,17.5,4.0,7.8,3.6,3.0,,0.0,1.2,0.0,0,239,3,33,0.7,0.7,92,,,0,0,,,0,,,,,0.94 ,0.28 ,0.20 ,0.03 ,0.68 ,0.04 ,,,,0.08,0.12,2.09,0.44,,5.7,5.8,731,0,0,0,0,0,40,0,0,580,0,98,0,13,0,0,903,0,0,903,0,0,895,888,7,0,0,0,0,0,21,1.23/1.24/1.00,,3086 ,236 ,128 ,159 ,549 ,248 ,138 ,273 ,30 ,160 ,70 ,107 ,342 ,122 ,139 ,147 ,78 ,143 ,16 ,,
A0400501,穀物類,糯玉米,"樣品狀態:生,每根均混有紫皮與黃皮(已去部分外葉); 前處理描述:取玉米粒混合均勻打碎",,32 ,172 ,165,59.1,4.7,1.9,0.5,0.9,33.4,3.5,1.1,0.7,0.4,,0.0,0.0,0.0,1,273,6,50,0.9,0.8,137,,,0,0,,,0,,,,,1.11 ,0.25 ,0.16 ,0.00 ,0.93 ,0.03 ,,,,0.18,0.09,1.48,0.28,,6.5,4.0,536,0,1,3,2,1,0,2,1,454,2,41,0,13,10,6,687,0,11,669,7,0,667,644,22,0,0,0,0,0,8,1.24/1.28/1.00,,4774 ,302 ,129 ,196 ,846 ,392 ,167 ,359 ,92 ,268 ,79 ,199 ,609 ,261 ,276 ,190 ,136 ,226 ,47 ,,
A0400601,穀物類,冷凍玉米粒,樣品狀態:冷凍製品; 前處理描述:混合均勻打碎,,,174 ,167,65.6,3.1,8.2,,0.6,22.5,3.1,,,,,,,,8,210,3,24,0.6,0.5,72,,,100,10,,30,45,,,,,,,,,,,,,,0.04,0.04,0.51,0.04,,2.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0410101,穀物類,乾玉米粒,樣品狀態:乾貨; 前處理描述:混合均勻磨碎,,,373 ,346,11.9,10.9,3.9,0.6,1.1,72.2,12.8,0.5,0.0,0.0,,0.0,0.5,0.0,1,259,6,126,2.4,2.6,273,0.025 ,,71,7,,0,43,,,,,3.33 ,0.72 ,0.44 ,0.01 ,2.67 ,0.21 ,,,,0.47,0.07,1.40,0.70,,48.6,0.0,619,0,0,0,0,0,0,0,0,512,0,71,0,25,3,8,1041,0,0,1026,15,0,2274,2228,47,0,0,0,0,0,8,3.67/1.68/1.00,,9802 ,628 ,358 ,480 ,1929 ,901 ,354 ,795 ,223 ,448 ,115 ,319 ,1359 ,395 ,485 ,263 ,281 ,400 ,69 ,,
A0410201,穀物類,玉米胚芽,樣品狀態:生; 前處理描述:混合均勻打碎,"玉米仁,珍珠米",,366 ,354,11.5,7.0,0.9,0.1,0.3,80.3,5.7,0.0,0.0,0.0,,0.0,0.0,0.0,1,94,3,17,0.8,0.5,65,,,6,1,,0,4,,,,,0.35 ,0.09 ,0.07 ,0.00 ,0.26 ,0.03 ,,,,0.06,0.03,1.21,0.19,,42.1,0.0,128,0,0,0,0,0,0,0,0,104,0,17,0,4,1,2,258,0,1,256,2,0,510,493,17,0,0,0,0,0,0,3.99/2.02/1.00,,6822 ,384 ,218 ,307 ,1417 ,680 ,201 ,536 ,176 ,319 ,99 ,246 ,984 ,260 ,336 ,134 ,208 ,253 ,64 ,,
A0420101,穀物類,玉米粉,前處理描述:混合均勻,,,369 ,368,10.9,0.3,0.4,0.1,0.1,88.3,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,14,4,2,3,0.2,0.0,14,,,0,0,,0,0,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,0.01,0.00,0.10,0.02,,12.3,2.5,75,0,0,0,0,0,0,7,0,14,0,54,0,0,0,0,127,0,62,59,6,0,214,10,1,2,42,79,19,60,0,2.84/1.69/1.00,,,,,,,,,,,,,,,,,,,,,,
A05001,穀物類,秈米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,"在來米,長米",,357 ,355,13.4,7.8,0.9,0.4,0.5,77.4,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,2,99,5,29,0.3,1.3,75,,,0,0,,,0,,,,,0.19 ,0.08 ,0.07 ,0.01 ,0.09 ,0.03 ,,,,0.09,0.02,1.50,0.03,,15.7,0.0,354,0,0,0,0,0,0,18,0,299,0,28,0,3,2,4,200,0,1,196,2,1,301,293,9,0,0,0,0,0,0,1.51/1.00/1.77,,7618 ,703 ,272 ,369 ,1432 ,373 ,352 ,447 ,219 ,463 ,167 ,321 ,642 ,319 ,401 ,281 ,191 ,641 ,22 ,,
A0500101,穀物類,秈米(台中在來2號),"樣品狀態:生,白秈米; 前處理描述:混合均勻磨碎","在來米,長米",,355 ,354,13.9,8.2,1.0,,0.6,76.3,0.5,,,,,,,,2,114,5,40,0.3,1.3,77,,,,,,,,,,,,0.22 ,0.11 ,0.09 ,0.01 ,0.10 ,0.02 ,,,,0.13,0.03,2.10,0.02,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8191 ,756 ,288 ,386 ,1549 ,415 ,376 ,472 ,230 ,507 ,184 ,350 ,679 ,338 ,432 ,313 ,210 ,706 ,0 ,,
A0500102,穀物類,秈米(台中秈10號),"樣品狀態:生,白秈米; 前處理描述:混合均勻磨碎","在來米,長米",,358 ,357,13.0,7.4,0.7,0.3,0.4,78.5,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,2,85,5,19,0.2,1.3,73,,,0,0,,,0,,,,,0.16 ,0.06 ,0.05 ,0.01 ,0.08 ,0.03 ,,,,0.05,0.02,0.91,0.05,,19.5,0.0,294,0,0,0,0,0,0,15,0,248,0,23,0,3,1,4,166,0,1,163,1,1,250,243,7,0,0,0,0,0,0,1.51/1.00/1.77,,7045 ,650 ,257 ,352 ,1316 ,331 ,329 ,422 ,209 ,420 ,150 ,292 ,606 ,301 ,370 ,250 ,172 ,575 ,45 ,,
A0500103,穀物類,秈米(台中秈10號)(2024年取樣),"樣品狀態:生,白秈米; 前處理描述:混合均勻磨碎","在來米,長米",0 ,357 ,356,13.0,6.1,0.6,0.2,0.5,79.8,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0,133,6,40,0.4,1.9,164,0.170 ,0.640 ,0,0,,,0,0.00 ,0.00 ,0.00 ,,0.14 ,0.08 ,0.08 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07,0.03,1.49,0.08,,28.6,0.0,221,0,0,0,0,0,0,10,0,182,0,19,0,3,2,4,156,0,0,153,1,1,181,175,6,0,0,0,0,0,3,1.16/1.00/1.42,0 ,6530 ,611 ,251 ,337 ,1188 ,292 ,336 ,392 ,127 ,393 ,89 ,262 ,543 ,346 ,331 ,249 ,155 ,560 ,65 ,,
A05002,穀物類,?米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,"蓬萊米,圓米",,354 ,352,14.1,7.0,0.7,0.2,0.4,77.8,0.7,0.1,0.0,0.0,,0.0,0.1,0.0,2,79,5,20,0.4,1.5,81,0.008 ,,4,0,,0,3,,,,,0.36 ,0.19 ,0.17 ,0.01 ,0.10 ,0.07 ,,,,0.08,0.02,1.09,0.08,,16.5,0.0,208,0,0,0,0,0,0,5,0,175,0,19,0,3,1,4,248,0,1,244,2,1,241,233,8,0,0,0,0,0,1,1.16/1.19/1.00,,6636 ,610 ,227 ,338 ,1230 ,284 ,306 ,376 ,328 ,378 ,112 ,262 ,559 ,280 ,337 ,230 ,169 ,531 ,82 ,,
A0500201,穀物類,?米(台中189號),"樣品狀態:生,白?米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,356 ,355,13.5,7.5,0.6,0.1,0.3,78.1,0.3,,,,,,,,3,85,5,12,0.7,1.5,77,,,0,0,,0,0,,,,,0.08 ,0.07 ,0.07 ,0.00 ,0.01 ,0.00 ,,,,0.04,0.02,0.84,0.05,,0.0,0.0,121,0,0,0,0,0,0,2,0,106,0,9,0,2,0,2,230,0,1,228,2,0,209,202,7,0,0,0,0,0,0,1.72/1.90/1.00,,7223 ,646 ,247 ,361 ,1309 ,316 ,318 ,405 ,301 ,409 ,149 ,284 ,604 ,339 ,384 ,233 ,191 ,629 ,99 ,,
A0500202,穀物類,?米(台南11號),"樣品狀態:生,白?米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,348 ,347,15.4,6.7,0.5,0.2,0.2,77.2,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,2,71,4,13,0.2,1.1,67,0.007 ,,0,0,,,0,,,,,0.12 ,0.11 ,0.11 ,0.00 ,0.01 ,0.00 ,,,,0.09,0.02,0.74,0.06,,14.6,0.0,190,0,0,0,0,0,0,7,0,164,0,14,0,2,2,2,126,0,0,120,2,5,163,158,5,0,0,0,0,0,2,1.29/1.00/1.50,,6894 ,641 ,248 ,380 ,1302 ,255 ,318 ,401 ,119 ,360 ,114 ,242 ,588 ,326 ,369 ,253 ,182 ,557 ,239 ,,
